,Gastrocnemius,Tibialis Anterior,Soleus,Vastus Medialis,Vastus Lateralis,Rectus Femoris,Biceps Femoris,Semitendinosus,Gracilis,Gluteus Medius
27070,0.046616364,0.6922711,0.1368833,0.8563798,0.8225374,0.5509741,0.23020248,0.33025634,0.3241604,0.8269479
27071,0.056111682,0.60055757,0.14109164,0.87903666,0.7912717,0.5155437,0.18948653,0.3216171,0.31819937,0.83994615
27072,0.069546625,0.51635295,0.13882676,0.8856353,0.74534786,0.53550684,0.15866792,0.31862104,0.29704678,0.8194913
27073,0.06466391,0.4639366,0.12702593,0.8729236,0.70002925,0.51070225,0.13948458,0.30681133,0.28294885,0.7815949
27074,0.07276185,0.3647243,0.121025555,0.81925976,0.63317,0.4905188,0.14405449,0.2658674,0.29572064,0.6991094
27075,0.079141565,0.294132,0.120055445,0.76642513,0.5591028,0.4372477,0.13411698,0.24397427,0.2437398,0.6326038
27076,0.07765351,0.22450796,0.11251385,0.6818413,0.48221204,0.39982298,0.12274285,0.23335984,0.2020116,0.55021024
27077,0.07938406,0.19483592,0.11685507,0.5707505,0.39330527,0.3525597,0.11690897,0.21384114,0.1783583,0.4649394
27078,0.09320889,0.18570064,0.13318409,0.46085894,0.31551015,0.29422054,0.11684962,0.19639218,0.18616472,0.40082633
27079,0.112952285,0.17950648,0.13899769,0.35149807,0.2530491,0.24504183,0.1171219,0.17771667,0.20972428,0.3701773
27080,0.14452246,0.18272334,0.14361249,0.25680193,0.20036373,0.20392701,0.111729644,0.15782914,0.22268897,0.3589395
27081,0.17400707,0.18371777,0.15345097,0.17324921,0.15732166,0.16706504,0.10269094,0.12738281,0.21271993,0.326397
27082,0.1877717,0.19929738,0.16636696,0.12030707,0.13450612,0.14066088,0.11031807,0.10582771,0.20440848,0.3138359
27083,0.198689,0.24520463,0.17712262,0.09344515,0.12361905,0.12539627,0.13304366,0.09722943,0.20923436,0.30540612
27084,0.22201805,0.27758715,0.18335982,0.07251992,0.10186029,0.104571536,0.16667628,0.09423827,0.22502017,0.28077927
27085,0.24674694,0.29072765,0.1934163,0.05919562,0.075410925,0.08759971,0.19887114,0.09696156,0.22666481,0.22839731
